ID,endpoint
C85834,https://myntfintech.testrail.io/index.php?/api/v2/get_case/85834
C170783,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170783
C170784,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170784
C170785,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170785
C170786,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170786
C170793,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170793
C170857,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170857
C170858,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170858
C170859,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170859
C170860,https://myntfintech.testrail.io/index.php?/api/v2/get_case/170860
C490761,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490761
C490763,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490763
C490765,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490765
C490766,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490766
C490767,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490767
C490768,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490768
C490794,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490794
C490817,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490817
C490826,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490826
C490828,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490828
C490829,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490829
C490838,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490838
C490846,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490846
C490848,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490848
C490858,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490858
C490859,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490859
C490862,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490862
C490863,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490863
C490866,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490866
